timestamp,cpu,ram,disk,net_in,net_out,request_count,request_time
2026-08-24T10:41:06+07:00,16.02,61.73,76.07,882761359,191905403,0,0.00
2026-08-24T10:41:16+07:00,5.55,58.43,76.07,882764553,191911074,0,0.00
2026-08-24T10:41:26+07:00,4.26,58.19,76.07,882776446,191933745,0,0.00
2026-08-24T10:41:36+07:00,2.88,58.20,76.07,882788918,191958250,0,0.00
2026-08-24T10:41:46+07:00,4.37,59.10,76.08,882945822,192070435,0,0.00
2026-08-24T10:41:56+07:00,6.12,59.05,76.08,883019774,192117956,2,0.00
2026-08-24T10:42:06+07:00,3.62,58.96,76.08,883039026,192140761,2,0.00
2026-08-24T11:04:31+07:00,9.05,59.21,76.10,906989014,202699786,0,0.00
2026-08-24T11:04:41+07:00,6.63,59.30,76.10,907056648,202802446,0,0.00
